content,label
"title: Timeless Existence and Principle of Creation: Notions Embedded in John 1:1, ""In the Beginning Was the Word"", keywords: John 1:1, Word, beginning, timeless existence, principle of creation, intentionality, author: Emiliano C. De Catalina, doi: https://doi.org/10.32871/rmrj2210.01.01, abstract: St. John's Gospel begins with a prologue, serving as an overture to the whole Gospel. This paper investigates the philosophical notions embedded in the first three lines of John 1:1. The inquiry focuses on whether or not the accepted meaning of this line as ""indicating timeless existence"" can be deduced from John 1:1 and whether or not John 1:1 also indicates the meaning of the ""principle of creation."" This paper proceeds to make this inquiry in the following order: Introduction; The questions arising in John 1:1; Word as God is eternal, outside time; ""In the beginning"" as predicate; ""The Word was in the beginning""; Timeless existence and the verb was; The Word as God is a principle of creation (which included the distinction between the concepts of anthropological intentionality and metaphysical intentionality); and Conclusion. This paper concludes by affirming the two questions on timeless existence and the principle of creation., published date: 2022-05-25, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/986, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: Ratooning Response of Lowland Rice (Oryza sativa L.) var. PSB Rc22 to Production Management Practices, keywords: approach, gross margin, lowland rice, management, ratooning, author: Dionesio M. BaÅˆoc, Victor B. Asio, doi: https://doi.org/10.32871/rmrj2210.01.08, abstract: This study aimed to determine the ratooning ability of lowland rice to production management practices. It assessed the profitability of rice ratooning to the abovementioned objectives. The experiment was set out in a split-plot organized in a Randomized Complete Block Design with production management practices as the main plot and cutting heights of ratoon crop as the subplot treatment. Production management practices notably affected all agronomic characteristics, yield, and yield component parameters evaluated except the grain yield. Cutting height remarkably influenced all growth and yield parameters tested except panicle weight. Economic analysis revealed that the improved method achieved a higher gross margin (PHP21,321.60) than the farmerâ€™s practice (PHP15,419.40) because of the formerâ€™s high productivity (1.64 t ha-1). A cutting height of 45.0 cm under the improved method obtained the highest gross margin (PHP28,677.00). Moreso, this approach is considered a good measure in adapting to the problematic scenario relative to climate change., published date: 2022-06-14, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1147, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: Paternal Resilience in Time of Pandemic: A Phenomenological Inquiry on the Experiences of Fathers of Children with Autism, keywords: Special Education, fathers of children with autism, COVID-19 pandemic, phenomenology, Philippines, author: Sarah Therese P. Jardenil, Dennis V. Madrigal, doi: https://doi.org/10.32871/rmrj2210.01.02, abstract: This phenomenological research was conducted to inquire into the experiences of fathers of children with autism during the COVID-19 pandemic. This qualitative study was explored because there is a dearth of studies focusing on paternal involvement and a lack of local autism research. Nine participants, who were chosen using purposive sampling, individually participated in an unstructured interview. The van Kaam method popularized by Moustakas was used to analyze the data gathered. Five major themes emerged: recognizing the child's needs, surviving hardships, enduring exhaustion, encountering silver linings, and moving forward. The findings showed that fathers of children with autism encountered challenging and fulfilling events during the pandemic with resilience. Fathers of children with autism prioritized familial needs, especially of the child, and increased their presence in the household. A strong paternal character builds up fathersâ€™ resilience in coping with the difficulties of raising a child with autism in a precarious time., published date: 2022-05-26, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1181, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: An Inquiry into the Problems Concerning Filipino Values and Norms, keywords: Filipino, values, norms, validity, efficacy, problems, author: Jiolito L. Benitez, doi: https://doi.org/10.32871/rmrj2210.01.03, abstract: This paper inquires into the problems concerning Filipino values and moral norms. Based on the interviews with the social science and philosophy scholars and the youth leaders in the Philippines, the study identifies the following problems: Filipino identity, distortion and dysfunctionalization, manifold ambivalence, dissonance, false justification and misuse, cynicism, and decline of moral courage. Analyzed based on Hans Kelsenâ€™s concept of validity and efficacy, the problems prove to be radical given that the purported Filipino values system is actually a chaotic constellation of competing and conflicting pre-colonial, colonial, and postcolonial normative paradigms. Distorted, ambivalent, and dysfunctionalized, Filipino values and norms fail to provide effective normative guidelines. The proposed antidote of moral and values education is bound to be futile in the face of a severely mutilated social conscience., published date: 2022-05-27, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1211, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: Correlating the Psychological and Spiritual Well-Being of Junior High School Students in Selected Catholic Schools in Central Philippines, keywords: Psychology, psycho-spiritual well-being, junior high school students, Philippines, author: Chris Feli Joy P. Tajonera, Dennis V. Madrigal, doi: https://doi.org/10.32871/rmrj2210.01.05, abstract: This descriptive-correlational study assesses the psycho-spiritual well-being of junior high school students at Catholic Schools in Central Philippines. Also, it determines the relationship between the said constructs, and at the same, their association between the variables of sex, family structure, birth order, religious affiliation, and church involvement. The data are gathered using Ryffâ€™s Psychological Well-being and Ellison and Paloutzianâ€™s Spiritual Well-being Scale. The findings reveal moderate levels of psychological and spiritual well-being among the respondents. Point biserial shows that a significant relationship existed between the demographics of family structure and psychological well-being and between church involvement and psychological well-being. Rank biserial shows, on the other hand, that there is a significant relationship between family structure and spiritual well-being and between church involvement and spiritual well-being. Also, Spearman Rank Correlation results indicated that there is a relationship between psychological well-being and spiritual well-being., published date: 2022-05-31, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1188, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: Construction of Difference Sets from Unions of Cyclotomic Classes of Order N=14, keywords: difference set, cyclotomic class, union, computer search, author: Benedict M. Estrella, doi: https://doi.org/10.32871/rmrj2210.01.04, abstract: Let G be an additive group of order v, D be a non-empty proper k-subset of G, and λ be any integer. Then D is a (v, k, λ) - difference set if every nonzero element of the group can be expressed as a difference d1 - d2 of elements of D in exactly λ ways. Let q be a prime of the form q = nN + 1 for integers n>1 and N>1. For q<1000, this study shows the construction of difference sets in the additive group of the field GF(q) from unions of cyclotomic classes of order N = 14 using a computer search. The construction consisted of computer programs derived from the definitions and theorems on difference sets using Python. The results revealed that only the union of seven cyclotomic classes such as C0(14, q) U C2(14, q) U C4(14, q) U C6(14, q) U C8(14, q) U C10(14, q) U C12(14, q) forms a quadratic cyclotomic difference set. Similarly, this union together with zero forms a difference set equivalent to the modified quadratic cyclotomic difference sets., published date: 2022-05-29, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1205, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: The Properties of Interlocking Directorates in the Philippines: An Exploratory Analysis, keywords: Board interlock, interlocking directorate, network analysis, Philippines, centrality, author: Stevenson Q. Yu, doi: https://doi.org/10.32871/rmrj2210.01.06, abstract: Governance has become an increasingly important factor in the investment decisions of firms and investors. Thus, it is important to determine the quality and composition of corporate boards, which are vital overseers who act in the best interests of shareholders to improve and strengthen them. While interlocking directorates are not a recent occurrence in the Philippines, updated literature on the structure of the countryâ€™s board interlock network is sparse. Thus, this study provides a baseline snapshot by analyzing all 251 publicly-listed companies on the Philippine Stock Exchange at the director and board levels. More so, the study utilizes social network analysis tools to describe the properties of interlocking directorates and visually maps out the social network that underpins these relationships. It reveals that the board network is extensive, with almost 90% of firms connected, thanks to a handful of key directors who have high degrees of connectivity., published date: 2022-06-08, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1212, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: The Infusion of Folk Catholicism to Tambal Binisaya as an Indigenous Healing System in Iligan City, keywords: folk Christianity, folk religion, folk healing, indigenous knowledge, Catholicism, author: Lourd Greggory D. Crisol, Efren Jone J. Oledan, doi: https://doi.org/10.32871/rmrj2210.01.07, abstract: For generations, folk medicines have been used to cure various diseases with supernatural and naturalistic causations. With ethnographic descriptive design, mananambals, Tambal Binisaya vendors, and loyal patrons served as key informants in this qualitative study. In obtaining the data, observations, field notes, and interviews were the main instruments used to investigate inculturation, which is the underlying phenomenon behind the folk Catholicism evident in Tambal Binisaya. As such, it was revealed that there are strong pieces of evidence of pre-Christian practices in Tambal Binisaya, such as belief in abyans, balance in natural elements in the body, and even animism, which are somehow divergent from Catholic beliefs that put a premium on God and the total healing of the mind, body, and spirit. Despite these differences, Tambal Binisaya somehow integrated these aspects of the two systems into a hybrid healing practice. The indigenous have indeed been married to Catholicism in Tambal Binisaya., published date: 2022-06-08, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1220, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: Modeling Employee Retention Amidst COVID-19 Pandemic: An Econometric Approach, keywords: employee retention, econometric modeling, COVID-19 pandemic, Baybay City, author: Dennis T. Caredo, Argina M. Pomida, Angelita L. Paradero, Leomarich F. Casinillo, doi: https://doi.org/10.32871/rmrj2210.01.09, abstract: Employee retention is one of the human resource management (HRM) issues. This study determines the factors that significantly influence employee retention amidst the COVID-19 pandemic. The study employs complete enumeration and uses primary data. After which, the results are analyzed using descriptive statistics and econometric modeling. Results reveal that employees are satisfied to do their respective jobs (M=4.09, SD=0.48). In addition, they show that the determinants such as other income (p-value=0.024), length of service (p-value=0.099), as well as reward and recognition (p-value=0.015), are significant influences to employeesâ€™ retention. Hence, these conclude that better remuneration (and the increase thereof) are more likely to retain existing employees and attract employees from other organizations. Furthermore, the study specifically recommends that employee retention be improved by further refining reward and recognition that surely meet the needs and well-being of the employees., published date: 2022-06-27, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1070, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
"title: Development of Science Research Culture in Basic Education: A Theory Generation, keywords: basic education, deductive-axiomatic theory generation, science investigatory projects, science research culture, author: Joje Mar P. Sanchez, doi: https://doi.org/10.32871/rmrj2210.01.10, abstract: Science research culture in basic education can be associated with science investigatory projects (SIPs). In relation to this, the paper establishes a theory on the development of SIP culture in basic education utilizing theory generation through axiomatic deductive approach based on steps prescribed by R. Padua (personal communication, November 17, 2014) which creates the theory that basic education institutions contribute to high productivity in SIPs. Simply because humans and non-human resources along with quality Science instruction are needed to yield such productivity. These attributes, resources, and Science instruction foster SIP culture. These are crucial aspects as schools capacitate students and teachers, produce the SIPs, and eventually disseminate these projects in science fairs., published date: 2022-06-27, link: https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1086, journal name: Recoletos Multidisciplinary Research Journal Vol. 10 No. 1",rmrj_articles
